ID(control name),Name(control content),BoundingRectangle(control pixel)
UpdateTime,04:38:05,80
Config_RestartGW,Restart Gateway,115
,Restart Gateway,93
ID(control name),Name(control content),BoundingRectangle(control pixel)
ErpWindow,Revert,410
TitleBar,Revert,394
SystemMenuBar,系统菜单栏,22
Item 1,系统,22
Close,关闭,34
Other_ConfigFile,Config File,374
,Config File,61
dataGrid1,,362
PART_ColumnHeadersPresenter,,360
,,80
chbAll,Select,70
,Select,34
,State,80
,Gateway.ConfigManage.CustomControl.ConfigInfo,360
PART_BottomHeaderGripper,,-∞
,Coding System,200
,项: Gateway.ConfigManage.CustomControl.ConfigInfo，列显示索引: 1,80
,项: Gateway.ConfigManage.CustomControl.ConfigInfo，列显示索引: 2,80
PART_TopHeaderGripper,,-∞
,HL7 Message Customization,200
,HL7_XML Message Domain Type,200
,Config Item Management,200
,Network Configuration,200
,User Information,200
ExportBtn,Revert,80
,Revert,36
ID(control name),Name(control content),BoundingRectangle(control pixel)
ErpWindow,Revert,410
TitleBar,Revert,394
SystemMenuBar,系统菜单栏,22
Item 1,系统,22
Close,关闭,34
Other_ConfigFile,Config File,374
,Config File,61
dataGrid1,,362
PART_ColumnHeadersPresenter,,360
,,80
chbAll,Select,70
,Select,34
,State,80
,Gateway.ConfigManage.CustomControl.ConfigInfo,360
PART_BottomHeaderGripper,,-∞
,Coding System,200
,项: Gateway.ConfigManage.CustomControl.ConfigInfo，列显示索引: 1,80
,项: Gateway.ConfigManage.CustomControl.ConfigInfo，列显示索引: 2,80
PART_TopHeaderGripper,,-∞
,HL7 Message Customization,200
,HL7_XML Message Domain Type,200
,Config Item Management,200
,Network Configuration,200
,User Information,200
ExportBtn,Revert,80
,Revert,36
